block_seq_num,block_var_num,block_route_num,block_run_num
4688185,1,40,1
4688186,1,40,3
4688187,1,40,2
4688188,1,40,5
4688189,1,40,4
4688190,1,40,6
4688191,1,40,8
4688192,1,40,7
4688193,1,40,10
4688194,1,40,9
4688195,1,40,12
4688196,1,40,11
4688197,1,675,3
4688198,1,675,4
4688199,1,675,5
4688200,1,675,6
4688201,1,675,8
4688202,1,675,9
4688203,1,675,10
4688204,1,675,11
4688205,1,675,12
4688206,1,675,13
4688207,1,675,14
4688208,1,675,15
4688209,1,675,18
4688210,1,673,2
4688211,1,673,3
4688212,1,673,4
4688213,1,673,5
4688214,1,673,6
4688215,1,673,8
4688216,1,673,12
4688217,1,674,2
4688218,1,674,3
4688219,1,674,8
4688220,1,674,11
4688221,1,674,9
4688222,1,674,10
4688223,1,673,16
4688224,1,673,15
4688225,1,675,16
4688226,1,673,11
4688227,1,673,7
4688228,1,673,9
4688229,1,673,10
4688230,1,40,13
4688231,1,40,14
4688232,1,673,14
4688233,1,5,2
4688234,1,5,3
4688235,1,5,4
4688236,1,5,5
4688237,1,5,6
4688238,1,5,7
4688239,1,5,8
4688240,1,5,9
4688241,1,5,10
4688242,1,5,11
4688243,1,5,12
4688244,1,5,13
4688245,1,5,14
4688246,1,5,15
4688247,1,5,16
4688248,1,5,17
4688249,1,5,18
4688250,1,5,19
4688251,1,60,1
4688252,1,60,2
4688253,1,60,3
4688254,1,60,4
4688255,1,60,5
4688256,1,60,6
4688257,1,71,1
4688258,1,71,2
4688259,1,71,3
4688260,1,106,1
4688261,1,106,2
4688262,1,106,3
4688263,1,106,4
4688264,1,106,5
4688265,1,106,6
4688266,1,106,7
4688267,1,106,8
4688268,1,106,9
4688269,1,106,10
4688270,1,106,11
4688271,1,125,1
4688272,1,125,2
4688273,1,125,3
4688274,1,5,1
4688275,1,673,1
4688276,1,40,15
4688277,1,674,1
4688278,1,674,7
4688279,1,675,1
4688280,1,675,2
4688281,1,674,4
4688282,1,674,5
4688283,1,674,6
4688284,1,674,17
4688285,1,674,16
4688286,1,674,12
4688287,1,674,14
4688288,1,674,13
4688289,1,674,15
4688290,1,675,7
4688291,1,675,17
4688292,1,40,16
4688293,1,673,13
4688294,1,675,3
4688295,1,675,4
4688296,1,675,5
4688297,1,675,6
4688298,1,675,7
4688299,1,675,9
4688300,1,675,10
4688301,1,673,2
4688302,1,673,3
4688303,1,673,4
4688304,1,673,5
4688305,1,673,6
4688306,1,673,8
4688307,1,674,3
4688308,1,674,2
4688309,1,674,4
4688310,1,674,6
4688311,1,674,8
4688312,1,674,9
4688313,1,673,14
4688314,1,673,9
4688315,1,673,7
4688316,1,673,10
4688317,1,673,12
4688318,1,673,11
4688319,1,674,5
4688320,1,5,2
4688321,1,5,3
4688322,1,5,4
4688323,1,5,5
4688324,1,5,6
4688325,1,5,7
4688326,1,5,8
4688327,1,5,9
4688328,1,5,10
4688329,1,5,11
4688330,1,5,12
4688331,1,5,13
4688332,1,5,14
4688333,1,5,15
4688334,1,5,16
4688335,1,5,17
4688336,1,5,18
4688337,1,5,19
4688338,1,5,20
4688339,1,5,23
4688340,1,5,22
4688341,1,5,24
4688342,1,40,1
4688343,1,40,2
4688344,1,40,3
4688345,1,40,4
4688346,1,40,5
4688347,1,40,6
4688348,1,40,7
4688349,1,40,8
4688350,1,40,9
4688351,1,40,10
4688352,1,40,11
4688353,1,40,12
4688354,1,40,13
4688355,1,40,14
4688356,1,40,15
4688357,1,60,1
4688358,1,60,2
4688359,1,60,3
4688360,1,60,4
4688361,1,60,5
4688362,1,106,1
4688363,1,106,2
4688364,1,106,3
4688365,1,106,4
4688366,1,106,5
4688367,1,106,6
4688368,1,125,1
4688369,1,125,2
4688370,1,125,3
4688371,1,5,1
4688372,1,673,1
4688373,1,60,6
4688374,1,674,1
4688375,1,674,7
4688376,1,675,2
4688377,1,675,1
4688378,1,675,15
4688379,1,675,14
4688380,1,675,8
4688381,1,673,13
4688382,1,674,11
4688383,1,674,10
4688384,1,675,13
4688385,1,40,16
4688386,1,675,12
4688387,1,675,11
4688388,1,5,21
4688389,1,5,22
4688390,1,5,7
4688391,1,5,2
4688392,1,5,4
4688393,1,5,10
4688394,1,5,9
4688395,1,5,3
4688396,1,5,12
4688397,1,5,15
4688398,1,5,5
4688399,1,5,20
4688400,1,5,13
4688401,1,18,12
4688402,1,5,6
4688403,1,56,3
4688404,1,15,12
4688405,1,55,13
4688406,1,17,9
4688407,1,43,1
4688408,1,21,10
4688409,1,56,1
4688410,1,355,1
4688411,1,18,10
4688412,1,56,2
4688413,1,214,16
4688414,1,43,2
4688415,1,17,1
4688416,1,18,1
4688417,1,21,1
4688418,1,57,11
4688419,1,43,3
4688420,1,355,10
4688421,1,15,11
4688422,1,984,1
4688423,1,15,13
4688424,1,57,2
4688425,1,17,6
4688426,1,21,4
4688427,1,17,4
4688428,1,18,13
4688429,1,5,14
4688430,1,21,11
4688431,1,56,6
4688432,1,56,9
4688433,1,55,2
4688434,1,18,3
4688435,1,56,8
4688436,1,5,11
4688437,1,57,1
4688438,1,21,2
4688439,1,21,5
4688440,1,355,4
4688441,1,18,2
4688442,1,55,12
4688443,1,43,5
4688444,1,355,9
4688445,1,17,10
4688446,1,21,12
4688447,1,21,3
4688448,1,355,3
4688449,1,17,2
4688450,1,5,31
4688451,2,981,1
4688452,1,355,6
4688453,1,17,7
4688454,1,56,4
4688455,1,355,12
4688456,1,57,10
4688457,1,15,3
4688458,1,15,14
4688459,1,5,36
4688460,1,55,14
4688461,1,18,4
4688462,1,5,23
4688463,1,56,7
4688464,1,18,11
4688465,1,56,5
4688466,1,55,15
4688467,1,355,8
4688468,1,15,1
4688469,1,57,3
4688470,1,18,14
4688471,1,55,1
4688472,1,55,10
4688473,1,355,13
4688474,1,40,1
4688475,1,40,3
4688476,1,40,2
4688477,1,40,4
4688478,1,40,7
4688479,1,40,5
4688480,1,40,9
4688481,1,40,6
4688482,1,40,8
4688483,1,40,15
4688484,1,40,10
4688485,1,40,12
4688486,1,40,17
4688487,1,40,16
4688488,1,40,20
4688489,1,40,14
4688490,1,40,23
4688491,1,40,24
4688492,1,40,25
4688493,1,40,26
4688494,1,40,27
4688495,1,40,31
4688496,1,40,29
4688497,2,5,19
4688498,1,5,29
4688499,1,5,32
4688500,1,17,5
4688501,1,5,26
4688502,1,15,4
4688503,1,40,32
4688504,1,40,22
4688505,1,15,5
4688506,1,5,33
4688507,1,40,36
4688508,1,214,20
4688509,1,214,19
4688510,1,214,18
4688511,1,214,17
4688512,1,214,7
4688513,1,214,15
4688514,1,214,14
4688515,1,214,13
4688516,1,214,12
4688517,1,214,11
4688518,1,214,6
4688519,1,214,4
4688520,1,214,2
4688521,1,355,14
4688522,1,675,2
4688523,1,675,3
4688524,1,675,4
4688525,1,675,6
4688526,1,675,7
4688527,1,675,5
4688528,1,675,8
4688529,1,675,11
4688530,1,675,10
4688531,1,675,9
4688532,1,675,12
4688533,1,675,14
4688534,1,675,15
4688535,1,675,16
4688536,1,675,19
4688537,1,675,17
4688538,1,675,20
4688539,1,675,22
4688540,1,675,23
4688541,1,675,24
4688542,1,675,27
4688543,1,675,29
4688544,1,675,30
4688545,1,675,32
4688546,1,675,33
4688547,1,675,35
4688548,1,675,36
4688549,1,675,37
4688550,1,675,38
4688551,1,5,28
4688552,1,56,10
4688553,1,5,21
4688554,1,21,13
4688555,1,355,5
4688556,1,21,14
4688557,1,355,2
4688558,1,40,19
4688559,1,675,25
4688560,1,675,21
4688561,1,675,39
4688562,1,675,40
4688563,1,673,1
4688564,1,673,28
4688565,1,673,2
4688566,1,673,4
4688567,1,673,3
4688568,1,673,6
4688569,1,673,25
4688570,1,673,5
4688571,1,673,7
4688572,1,673,32
4688573,1,673,8
4688574,1,673,10
4688575,1,673,29
4688576,1,673,11
4688577,1,673,12
4688578,1,673,31
4688579,1,673,14
4688580,1,673,13
4688581,1,673,16
4688582,1,673,17
4688583,1,673,18
4688584,1,673,27
4688585,1,673,33
4688586,1,673,21
4688587,1,673,30
4688588,1,673,9
4688589,1,673,15
4688590,1,673,26
4688591,1,43,6
4688592,1,5,17
4688593,1,15,15
4688594,1,673,37
4688595,1,5,34
4688596,1,40,39
4688597,1,673,22
4688598,1,675,13
4688599,1,673,19
4688600,1,673,20
4688601,1,55,11
4688602,1,15,16
4688603,1,5,30
4688604,1,5,35
4688605,1,40,21
4688606,1,106,1
4688607,1,106,3
4688608,1,106,9
4688609,1,106,10
4688610,1,106,12
4688611,1,106,2
4688612,1,106,5
4688613,1,106,14
4688614,1,106,11
4688615,1,106,6
4688616,1,106,4
4688617,1,106,7
4688618,1,106,8
4688619,1,106,16
4688620,1,5,38
4688621,1,5,16
4688622,1,55,16
4688623,1,5,18
4688624,1,125,1
4688625,1,125,2
4688626,1,125,4
4688627,1,125,5
4688628,1,15,2
4688629,1,17,8
4688630,1,5,24
4688631,1,21,15
4688632,1,675,18
4688633,1,675,34
4688634,1,675,31
4688635,1,673,24
4688636,1,40,28
4688637,1,40,35
4688638,1,125,3
4688639,1,355,7
4688640,1,674,27
4688641,1,674,1
4688642,1,674,19
4688643,1,674,3
4688644,1,674,2
4688645,1,674,6
4688646,1,674,21
4688647,1,674,5
4688648,1,674,8
4688649,1,674,7
4688650,1,674,24
4688651,1,674,28
4688652,1,674,9
4688653,1,674,25
4688654,1,674,10
4688655,1,674,14
4688656,1,674,20
4688657,1,674,11
4688658,1,674,13
4688659,1,674,23
4688660,1,674,12
4688661,1,674,15
4688662,1,674,16
4688663,1,674,17
4688664,1,674,22
4688665,1,674,26
4688666,1,106,15
4688667,1,5,25
4688668,1,980,1
4688669,1,987,1
4688670,1,994,1
