block_identifier,service_id,trip_id,trip_sequence
4688185,14336,34930525,2
4688185,14336,34930650,5
4688185,14336,34930533,8
4688185,14336,34930590,11
4688185,14336,34930545,14
4688185,14336,34930603,17
4688185,14336,34930558,20
4688185,14336,34930616,23
4688185,14336,34930570,26
4688186,14336,34930580,1
4688186,14336,34930636,4
4688186,14336,34930585,7
4688186,14336,34930540,10
4688186,14336,34930598,13
4688186,14336,34930553,16
4688186,14336,34930611,19
4688186,14336,34930566,22
4688187,14336,34930526,2
4688187,14336,34930651,5
4688187,14336,34930535,8
4688187,14336,34930592,11
4688187,14336,34930547,14
4688187,14336,34930605,17
4688187,14336,34930560,20
4688187,14336,34930618,23
4688187,14336,34930571,26
4688187,14336,34930628,29
4688187,14336,34930645,32
4688187,14336,34930632,35
4688188,14336,34930649,1
4688188,14336,34930530,4
4688188,14336,34930587,7
4688188,14336,34930542,10
4688188,14336,34930600,13
4688188,14336,34930555,16
4688188,14336,34930613,19
4688188,14336,34930568,22
4688188,14336,34930654,25
4688188,14336,34930575,28
4688188,14336,34930660,31
4688188,14336,34930579,34
4688189,14336,34930527,2
4688189,14336,34930652,5
4688189,14336,34930537,8
4688189,14336,34930594,11
4688189,14336,34930549,14
4688189,14336,34930607,17
4688189,14336,34930562,20
4688189,14336,34930620,23
4688189,14336,34930572,26
4688189,14336,34930629,29
4688189,14336,34930647,32
4688189,14336,34930662,35
4688190,14336,34930635,2
4688190,14336,34930584,5
4688190,14336,34930538,8
4688190,14336,34930595,11
4688190,14336,34930550,14
4688190,14336,34930608,17
4688190,14336,34930563,20
4688190,14336,34930621,23
4688190,14336,34930640,26
4688190,14336,34930658,29
4688190,14336,34930578,32
4688190,14336,34931179,35
4688190,14336,34931438,38
4688191,14336,34930581,1
4688191,14336,34930532,4
4688191,14336,34930589,7
4688191,14336,34930544,10
4688191,14336,34930602,13
4688191,14336,34930557,16
4688191,14336,34930615,19
4688191,14336,34930637,22
4688191,14336,34930655,25
4688191,14336,34930576,28
4688191,14336,34930661,31
4688192,14336,34930528,2
4688192,14336,34930653,5
4688192,14336,34930539,8
4688192,14336,34930597,11
4688192,14336,34930552,14
4688192,14336,34930610,17
4688192,14336,34930565,20
4688192,14336,34930623,23
4688192,14336,34930641,26
4688192,14336,34930630,29
4688193,14336,34930582,1
4688193,14336,34930534,4
4688193,14336,34930591,7
4688193,14336,34930546,10
4688193,14336,34930604,13
4688193,14336,34930559,16
4688193,14336,34930617,19
4688193,14336,34930638,22
4688193,14336,34930656,25
4688193,14336,34930577,28
4688194,14336,34930529,2
4688194,14336,34930586,5
4688194,14336,34930541,8
4688194,14336,34930599,11
4688194,14336,34930554,14
4688194,14336,34930612,17
4688194,14336,34930567,20
4688194,14336,34930625,23
4688194,14336,34930642,26
4688194,14336,34930633,29
4688195,14336,34930583,1
4688195,14336,34930536,4
4688195,14336,34930593,7
4688195,14336,34930548,10
4688196,14336,34930531,2
4688196,14336,34930588,5
4688196,14336,34930543,8
4688196,14336,34930601,11
4688196,14336,34930556,14
4688196,14336,34930614,17
4688196,14336,34930569,20
4688196,14336,34930626,23
4688196,14336,34930643,26
4688196,14336,34930631,29
4688197,14336,34931018,1
4688197,14336,34931082,4
4688197,14336,34931066,7
4688197,14336,34931131,10
4688197,14336,34931027,13
4688197,14336,34931094,16
4688197,14336,34931033,19
4688197,14336,34931101,22
4688197,14336,34931075,25
4688197,14336,34931109,28
4688197,14336,34931159,31
4688197,14336,34931115,34
4688197,14336,34931054,37
4688197,14336,34931120,40
4688197,14336,34931173,43
4688197,14336,34931124,46
4688198,14336,34931019,1
4688198,14336,34931083,4
4688198,14336,34931023,7
4688198,14336,34931132,10
4688198,14336,34931071,13
4688198,14336,34931097,16
4688198,14336,34931037,19
4688198,14336,34931105,22
4688199,14336,34931064,1
4688199,14336,34931130,4
4688199,14336,34931068,7
4688199,14336,34931090,10
4688199,14336,34931154,13
4688199,14336,34931098,16
4688199,14336,34931038,19
4688199,14336,34931156,22
4688199,14336,34931045,25
4688199,14336,34931140,28
4688200,14336,34931065,1
4688200,14336,34931085,4
4688200,14336,34931025,7
4688200,14336,34931133,10
4688200,14336,34931032,13
4688200,14336,34931100,16
4688200,14336,34931040,19
4688200,14336,34931138,22
4688200,14336,34931077,25
4688200,14336,34931143,28
4688201,14336,34931022,1
4688201,14336,34931087,4
4688201,14336,34931070,7
4688201,14336,34931095,10
4688201,14336,34931034,13
4688201,14336,34931136,16
4688201,14336,34931042,19
4688201,14336,34931110,22
4688201,14336,34931049,25
4688201,14336,34931141,28
4688202,14336,34931069,1
4688202,14336,34931092,4
4688202,14336,34931148,7
4688202,14336,34931099,10
4688202,14336,34931039,13
4688202,14336,34931157,16
4688202,14336,34931047,19
4688203,14336,34931088,1
4688203,14336,34931028,4
4688203,14336,34931160,7
4688203,14336,34931146,10
4688203,14336,34931102,13
4688203,14336,34931155,16
4688203,14336,34931139,19
4688203,14336,34931050,22
4688204,14336,34931029,1
4688204,14336,34931096,4
4688204,14336,34931073,7
4688204,14336,34931104,10
4688204,14336,34931044,13
4688204,14336,34931111,16
4688204,14336,34931078,19
4688204,14336,34931152,22
4688204,14336,34931178,25
4688204,14336,34931175,28
4688204,14336,34931060,31
4688205,14336,34931031,1
4688205,14336,34931135,4
4688205,14336,34931074,7
4688205,14336,34931107,10
4688205,14336,34931046,13
4688205,14336,34931150,16
4688205,14336,34931052,19
4688205,14336,34931145,22
4688205,14336,34931057,25
4688205,14336,34931168,28
4688206,14336,34931161,1
4688206,14336,34931149,4
4688206,14336,34931106,7
4688206,14336,34931158,10
4688206,14336,34931113,13
4688206,14336,34931079,16
4688206,14336,34931117,19
4688206,14336,34931056,22
4688207,14336,34931036,1
4688207,14336,34931137,4
4688207,14336,34931076,7
4688207,14336,34931112,10
4688207,14336,34931051,13
4688207,14336,34931144,16
4688207,14336,34931169,19
4688207,14336,34931121,22
4688207,14336,34931170,25
4688208,14336,34931114,1
4688208,14336,34931080,4
4688208,14336,34931118,7
4688208,14336,34931177,10
4688208,14336,34931174,13
4688208,14336,34931061,16
4688208,14336,34931126,19
4688209,14336,34931116,1
4688209,14336,34931055,4
4688209,14336,34931163,7
4688209,14336,34931059,10
4688209,14336,34931125,13
4688209,14336,34932630,16
4688209,14336,34931166,19
4688209,14336,34931164,22
4688210,14336,34930925,1
4688210,14336,34930725,4
4688210,14336,34930667,5
4688210,14336,34930733,8
4688210,14336,34930970,9
4688210,14336,34930742,12
4688210,14336,34930682,13
4688210,14336,34930751,16
4688210,14336,34930692,17
4688210,14336,34930761,20
4688210,14336,34930984,21
4688210,14336,34931009,24
4688210,14336,34930711,25
4688210,14336,34930780,28
4688210,14336,34930927,29
4688210,14336,34930947,32
4688211,14336,34930952,1
4688211,14336,34930727,4
4688211,14336,34930669,5
4688211,14336,34930991,8
4688211,14336,34930945,9
4688211,14336,34930744,12
4688211,14336,34930685,13
4688211,14336,34930754,16
4688211,14336,34930694,17
4688211,14336,34930763,20
4688211,14336,34930704,21
4688211,14336,34930773,24
4688211,14336,34930713,25
4688211,14336,34930782,28
4688211,14336,34930941,29
4688212,14336,34930957,1
4688212,14336,34930943,4
4688212,14336,34930946,5
4688212,14336,34930735,8
4688212,14336,34930676,9
4688212,14336,34930745,12
4688212,14336,34930976,13
4688212,14336,34931001,16
4688212,14336,34930695,17
4688212,14336,34930764,20
4688212,14336,34930705,21
4688212,14336,34930774,24
4688213,14336,34930938,1
4688213,14336,34930728,4
4688213,14336,34930670,5
4688213,14336,34930736,8
4688213,14336,34930677,9
4688213,14336,34930746,12
4688213,14336,34930686,13
4688213,14336,34930755,16
4688213,14336,34930696,17
4688213,14336,34930765,20
4688213,14336,34930986,21
4688213,14336,34931181,24
4688213,14336,34930714,25
4688213,14336,34930783,28
4688213,14336,34930953,29
4688213,14336,34930789,32
4688214,14336,34930663,1
4688214,14336,34930729,4
4688214,14336,34930968,5
4688214,14336,34930738,8
4688214,14336,34930678,9
4688214,14336,34930747,12
4688214,14336,34930688,13
4688214,14336,34930757,16
4688214,14336,34930982,17
4688214,14336,34931007,20
4688214,14336,34930707,21
4688214,14336,34930776,24
4688214,14336,34930716,25
4688214,14336,34930785,28
4688214,14336,34930955,29
4688214,14336,34930790,32
4688215,14336,34930726,2
4688215,14336,34930668,3
4688215,14336,34930734,6
4688215,14336,34930675,7
4688215,14336,34930743,10
4688215,14336,34930684,11
4688215,14336,34930753,14
4688215,14336,34930980,15
4688215,14336,34931005,18
4688215,14336,34930703,19
4688215,14336,34930772,22
4688215,14336,34930712,23
4688216,14336,34930995,2
4688216,14336,34930683,3
4688216,14336,34930752,6
4688216,14336,34930693,7
4688216,14336,34930762,10
4688216,14336,34930702,11
