service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
86972,0,1,1,0,1,0,0,20171120,20180309
85068,0,1,1,0,0,0,0,20171120,20180309
80506,0,0,0,0,0,0,0,20171120,20180309
80220,0,0,0,0,0,0,0,20171120,20180309
74755,0,0,0,0,0,0,0,20171120,20180309
73104,0,0,0,0,0,0,0,20171120,20180309
72857,0,0,0,0,0,0,0,20171120,20180309
71310,0,1,1,0,0,0,0,20171120,20180308
70807,0,0,0,0,0,0,0,20171120,20180308
70041,0,0,0,0,0,0,0,20171120,20180309
69610,0,0,0,0,0,0,0,20171120,20180309
65906,0,0,0,0,0,0,0,20171120,20180309
52736,0,0,0,0,0,0,0,20171120,20180309
52299,0,0,0,0,0,0,0,20171120,20180308
51150,0,0,0,0,0,0,0,20171120,20180309
51102,0,0,0,0,0,0,0,20171120,20180309
35870,0,0,1,0,0,0,0,20171122,20180307
35822,0,0,1,0,0,0,0,20171122,20180307
34673,0,0,1,0,0,0,0,20171122,20180309
34236,0,0,1,0,0,0,0,20171122,20180307
21066,0,0,0,0,0,0,0,20171124,20180223
18623,0,0,0,0,0,0,1,20171119,20180304
18508,0,0,0,0,0,0,0,20171122,20180307
18217,0,0,0,0,0,0,0,20171122,20180307
17730,0,0,0,0,0,0,1,20171119,20180304
17362,0,0,0,0,0,0,0,20171124,20180220
17133,0,0,0,0,0,1,0,20171118,20180303
16931,0,0,0,0,0,0,0,20171124,20180223
16001,0,0,0,0,0,0,1,20171119,20180304
15662,0,0,0,0,1,0,0,20171201,20180309
14600,0,0,0,0,0,0,0,20171127,20180223
14336,0,0,0,0,0,1,0,20171118,20180303
14115,0,0,0,0,0,0,0,20171218,20180223
13868,0,0,0,0,0,0,0,20171124,20180220
12217,0,0,0,0,0,0,0,20171124,20171229
6466,0,0,0,0,0,0,0,20171124,20171229
893,0,0,0,0,0,0,0,20180115,20180219
