trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign
1500,S_LW,04:36:00,04:36:00,1,King Street Station
1500,S_ST,04:41:00,04:41:00,2,King Street Station
1500,S_TD,04:50:00,04:50:00,3,King Street Station
1500,S_PU_NB,05:03:00,05:03:00,4,King Street Station
1500,S_SU_NB,05:08:00,05:08:00,5,King Street Station
1500,S_AU_NB,05:18:00,05:18:00,6,King Street Station
1500,S_KE_NB,05:25:00,05:25:00,7,King Street Station
1500,S_TK_NB,05:32:00,05:32:00,8,King Street Station
1500,S_KS,05:52:00,05:52:00,9,King Street Station
1501,S_KS,06:05:00,06:05:00,1,Tacoma Dome Station
1501,S_TK_SB,06:18:00,06:18:00,2,Tacoma Dome Station
1501,S_KE_SB,06:25:00,06:25:00,3,Tacoma Dome Station
1501,S_AU_SB,06:32:00,06:32:00,4,Tacoma Dome Station
1501,S_SU_SB,06:42:00,06:42:00,5,Tacoma Dome Station
1501,S_PU_SB,06:47:00,06:47:00,6,Tacoma Dome Station
1501,S_TD,07:06:00,07:06:00,7,Tacoma Dome Station
1502,S_LW,05:01:00,05:01:00,1,King Street Station
1502,S_ST,05:06:00,05:06:00,2,King Street Station
1502,S_TD,05:15:00,05:15:00,3,King Street Station
1502,S_PU_NB,05:28:00,05:28:00,4,King Street Station
1502,S_SU_NB,05:33:00,05:33:00,5,King Street Station
1502,S_AU_NB,05:43:00,05:43:00,6,King Street Station
1502,S_KE_NB,05:50:00,05:50:00,7,King Street Station
1502,S_TK_NB,05:57:00,05:57:00,8,King Street Station
1502,S_KS,06:17:00,06:17:00,9,King Street Station
1503,S_KS,06:35:00,06:35:00,1,Tacoma Dome Station
1503,S_TK_SB,06:48:00,06:48:00,2,Tacoma Dome Station
1503,S_KE_SB,06:55:00,06:55:00,3,Tacoma Dome Station
1503,S_AU_SB,07:02:00,07:02:00,4,Tacoma Dome Station
1503,S_SU_SB,07:12:00,07:12:00,5,Tacoma Dome Station
1503,S_PU_SB,07:17:00,07:17:00,6,Tacoma Dome Station
1503,S_TD,07:36:00,07:36:00,7,Tacoma Dome Station
1504,S_LW,05:26:00,05:26:00,1,King Street Station
1504,S_ST,05:31:00,05:31:00,2,King Street Station
1504,S_TD,05:40:00,05:40:00,3,King Street Station
1504,S_PU_NB,05:53:00,05:53:00,4,King Street Station
1504,S_SU_NB,05:58:00,05:58:00,5,King Street Station
1504,S_AU_NB,06:08:00,06:08:00,6,King Street Station
1504,S_KE_NB,06:15:00,06:15:00,7,King Street Station
1504,S_TK_NB,06:22:00,06:22:00,8,King Street Station
1504,S_KS,06:42:00,06:42:00,9,King Street Station
1505,S_KS,07:55:00,07:55:00,1,Lakewood Station
1505,S_TK_SB,08:08:00,08:08:00,2,Lakewood Station
1505,S_KE_SB,08:15:00,08:15:00,3,Lakewood Station
1505,S_AU_SB,08:22:00,08:22:00,4,Lakewood Station
1505,S_SU_SB,08:32:00,08:32:00,5,Lakewood Station
1505,S_PU_SB,08:37:00,08:37:00,6,Lakewood Station
1505,S_TD,08:52:00,08:52:00,7,Lakewood Station
1505,S_ST,09:01:00,09:01:00,8,Lakewood Station
1505,S_LW,09:11:00,09:11:00,9,Lakewood Station
1505H,S_KS,07:55:00,07:55:00,1,Lakewood Station
1505H,S_TK_SB,08:08:00,08:08:00,2,Lakewood Station
1505H,S_KE_SB,08:15:00,08:15:00,3,Lakewood Station
1505H,S_AU_SB,08:22:00,08:22:00,4,Lakewood Station
