ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",50679,11605,"Census Tract 922, Kitsap County, WA","14000US53035092200"
2017,"2017",0,"Total",67925,4146,"Census Tract 9401, Kitsap County, WA","14000US53035940100"
2017,"2017",0,"Total",73482,4536,"Census Tract 9400, Kitsap County, WA","14000US53035940000"
2017,"2017",0,"Total",55117,3807,"Census Tract 801.02, Kitsap County, WA","14000US53035080102"
2017,"2017",0,"Total",64268,9635,"Census Tract 929.02, Kitsap County, WA","14000US53035092902"
2017,"2017",0,"Total",40639,7287,"Census Tract 802, Kitsap County, WA","14000US53035080200"
2017,"2017",0,"Total",72148,14383.999999999998,"Census Tract 929.01, Kitsap County, WA","14000US53035092901"
2017,"2017",0,"Total",46332,5792,"Census Tract 803, Kitsap County, WA","14000US53035080300"
2017,"2017",0,"Total",75227,20891,"Census Tract 928.03, Kitsap County, WA","14000US53035092803"
2017,"2017",0,"Total",62188,15674.999999999998,"Census Tract 804, Kitsap County, WA","14000US53035080400"
2017,"2017",0,"Total",80305,6578,"Census Tract 928.02, Kitsap County, WA","14000US53035092802"
2017,"2017",0,"Total",31970,7889,"Census Tract 805, Kitsap County, WA","14000US53035080500"
2017,"2017",0,"Total",76063,5639,"Census Tract 928.01, Kitsap County, WA","14000US53035092801"
2017,"2017",0,"Total",51846,5932,"Census Tract 806, Kitsap County, WA","14000US53035080600"
2017,"2017",0,"Total",79261,17405,"Census Tract 927.04, Kitsap County, WA","14000US53035092704"
2017,"2017",0,"Total",58462,8759,"Census Tract 807, Kitsap County, WA","14000US53035080700"
2017,"2017",0,"Total",81821,14071,"Census Tract 927.01, Kitsap County, WA","14000US53035092701"
2017,"2017",0,"Total",49479,6130,"Census Tract 808, Kitsap County, WA","14000US53035080800"
2017,"2017",0,"Total",85283,8479,"Census Tract 926, Kitsap County, WA","14000US53035092600"
2017,"2017",0,"Total",57143,6572,"Census Tract 809, Kitsap County, WA","14000US53035080900"
2017,"2017",0,"Total",59947,13488,"Census Tract 925, Kitsap County, WA","14000US53035092500"
2017,"2017",0,"Total",48768,6471,"Census Tract 810, Kitsap County, WA","14000US53035081000"
2017,"2017",0,"Total",46750,6997.000000000001,"Census Tract 924, Kitsap County, WA","14000US53035092400"
2017,"2017",0,"Total",49191,9565,"Census Tract 811, Kitsap County, WA","14000US53035081100"
2017,"2017",0,"Total",54625,8191.000000000001,"Census Tract 923, Kitsap County, WA","14000US53035092300"
2017,"2017",0,"Total",39564,9580,"Census Tract 812, Kitsap County, WA","14000US53035081200"
2017,"2017",0,"Total",54667,9075,"Census Tract 801.01, Kitsap County, WA","14000US53035080101"
2017,"2017",0,"Total",77364,7316.000000000001,"Census Tract 921, Kitsap County, WA","14000US53035092100"
2017,"2017",0,"Total",68456,27959.999999999996,"Census Tract 901.01, Kitsap County, WA","14000US53035090101"
2017,"2017",0,"Total",73750,17174,"Census Tract 920, Kitsap County, WA","14000US53035092000"
2017,"2017",0,"Total",79032,11545,"Census Tract 901.02, Kitsap County, WA","14000US53035090102"
2017,"2017",0,"Total",71438,10698,"Census Tract 919, Kitsap County, WA","14000US53035091900"
2017,"2017",0,"Total",94920,7756,"Census Tract 902.01, Kitsap County, WA","14000US53035090201"
2017,"2017",0,"Total",71736,8176.000000000001,"Census Tract 918, Kitsap County, WA","14000US53035091800"
2017,"2017",0,"Total",96142,4399,"Census Tract 902.02, Kitsap County, WA","14000US53035090202"
2017,"2017",0,"Total",77524,6917,"Census Tract 917, Kitsap County, WA","14000US53035091700"
2017,"2017",0,"Total",52153,3508,"Census Tract 903, Kitsap County, WA","14000US53035090300"
