ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",53125,10696,"Census Tract 729.03, Pierce County, WA","14000US53053072903"
2017,"2017",0,"Total",112944,5531,"Census Tract 9400.11, Pierce County, WA","14000US53053940011"
2017,"2017",0,"Total",52938,4390,"Census Tract 9400.10, Pierce County, WA","14000US53053940010"
2017,"2017",0,"Total",71319,7699,"Census Tract 603, Pierce County, WA","14000US53053060300"
2017,"2017",0,"Total",72441,14076,"Census Tract 9400.09, Pierce County, WA","14000US53053940009"
2017,"2017",0,"Total",95768,8985,"Census Tract 604, Pierce County, WA","14000US53053060400"
2017,"2017",0,"Total",81875,6515,"Census Tract 9400.08, Pierce County, WA","14000US53053940008"
2017,"2017",0,"Total",102262,17280,"Census Tract 605, Pierce County, WA","14000US53053060500"
2017,"2017",0,"Total",49563,8576,"Census Tract 9400.07, Pierce County, WA","14000US53053940007"
2017,"2017",0,"Total",66130,9671,"Census Tract 606, Pierce County, WA","14000US53053060600"
2017,"2017",0,"Total",19521,3210,"Census Tract 9400.06, Pierce County, WA","14000US53053940006"
2017,"2017",0,"Total",70250,13634,"Census Tract 607, Pierce County, WA","14000US53053060700"
2017,"2017",0,"Total",81029,4493,"Census Tract 9400.05, Pierce County, WA","14000US53053940005"
2017,"2017",0,"Total",80700,6982.000000000001,"Census Tract 608, Pierce County, WA","14000US53053060800"
2017,"2017",0,"Total",74515,3315,"Census Tract 9400.04, Pierce County, WA","14000US53053940004"
2017,"2017",0,"Total",64621,9705,"Census Tract 609.03, Pierce County, WA","14000US53053060903"
2017,"2017",0,"Total",66228,3959.9999999999995,"Census Tract 9400.03, Pierce County, WA","14000US53053940003"
2017,"2017",0,"Total",60100,14889,"Census Tract 609.04, Pierce County, WA","14000US53053060904"
2017,"2017",0,"Total",72891,7388,"Census Tract 9400.02, Pierce County, WA","14000US53053940002"
2017,"2017",0,"Total",65035,11861,"Census Tract 609.05, Pierce County, WA","14000US53053060905"
2017,"2017",0,"Total",108382,7973,"Census Tract 9400.01, Pierce County, WA","14000US53053940001"
2017,"2017",0,"Total",71806,9634,"Census Tract 609.06, Pierce County, WA","14000US53053060906"
2017,"2017",0,"Total",91722,6875.000000000001,"Census Tract 735, Pierce County, WA","14000US53053073500"
2017,"2017",0,"Total",79386,5319,"Census Tract 610.01, Pierce County, WA","14000US53053061001"
2017,"2017",0,"Total",61318,7924,"Census Tract 734.08, Pierce County, WA","14000US53053073408"
2017,"2017",0,"Total",37179,9352,"Census Tract 610.02, Pierce County, WA","14000US53053061002"
2017,"2017",0,"Total",60449,8178.999999999999,"Census Tract 734.07, Pierce County, WA","14000US53053073407"
2017,"2017",0,"Total",50401,8416,"Census Tract 611, Pierce County, WA","14000US53053061100"
2017,"2017",0,"Total",70085,8463,"Census Tract 734.06, Pierce County, WA","14000US53053073406"
2017,"2017",0,"Total",67898,7666,"Census Tract 612, Pierce County, WA","14000US53053061200"
2017,"2017",0,"Total",53698,8330,"Census Tract 734.05, Pierce County, WA","14000US53053073405"
2017,"2017",0,"Total",44265,6705,"Census Tract 613, Pierce County, WA","14000US53053061300"
2017,"2017",0,"Total",60980,14480,"Census Tract 734.04, Pierce County, WA","14000US53053073404"
2017,"2017",0,"Total",16585,5029,"Census Tract 614, Pierce County, WA","14000US53053061400"
2017,"2017",0,"Total",64750,9833,"Census Tract 733.02, Pierce County, WA","14000US53053073302"
