ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",45900,5309,"Census Tract 113, Thurston County, WA","14000US53067011300"
2017,"2017",0,"Total",71455,9668,"Census Tract 127.30, Thurston County, WA","14000US53067012730"
2017,"2017",0,"Total",35529,6174,"Census Tract 101, Thurston County, WA","14000US53067010100"
2017,"2017",0,"Total",90021,11304,"Census Tract 119, Thurston County, WA","14000US53067011900"
2017,"2017",0,"Total",85278,16310,"Census Tract 120, Thurston County, WA","14000US53067012000"
2017,"2017",0,"Total",72000,10042,"Census Tract 102, Thurston County, WA","14000US53067010200"
2017,"2017",0,"Total",60588,6489,"Census Tract 127.20, Thurston County, WA","14000US53067012720"
2017,"2017",0,"Total",88977,12140,"Census Tract 118.22, Thurston County, WA","14000US53067011822"
2017,"2017",0,"Total",88564,4411,"Census Tract 121, Thurston County, WA","14000US53067012100"
2017,"2017",0,"Total",52195,12275,"Census Tract 103, Thurston County, WA","14000US53067010300"
2017,"2017",0,"Total",68393,4905,"Census Tract 127.10, Thurston County, WA","14000US53067012710"
2017,"2017",0,"Total",60471,7362,"Census Tract 118.21, Thurston County, WA","14000US53067011821"
2017,"2017",0,"Total",83472,15168,"Census Tract 104, Thurston County, WA","14000US53067010400"
2017,"2017",0,"Total",93698,10113,"Census Tract 118.10, Thurston County, WA","14000US53067011810"
2017,"2017",0,"Total",90673,14585,"Census Tract 122.11, Thurston County, WA","14000US53067012211"
2017,"2017",0,"Total",32404,4017.0000000000005,"Census Tract 105.10, Thurston County, WA","14000US53067010510"
2017,"2017",0,"Total",57000,12315,"Census Tract 126.20, Thurston County, WA","14000US53067012620"
2017,"2017",0,"Total",77306,11741,"Census Tract 117.20, Thurston County, WA","14000US53067011720"
2017,"2017",0,"Total",49879,7436.000000000001,"Census Tract 122.12, Thurston County, WA","14000US53067012212"
2017,"2017",0,"Total",41045,2351,"Census Tract 105.20, Thurston County, WA","14000US53067010520"
2017,"2017",0,"Total",76934,10983,"Census Tract 126.10, Thurston County, WA","14000US53067012610"
2017,"2017",0,"Total",83608,7791,"Census Tract 117.10, Thurston County, WA","14000US53067011710"
2017,"2017",0,"Total",54495,14762.000000000002,"Census Tract 106, Thurston County, WA","14000US53067010600"
2017,"2017",0,"Total",92054,14267,"Census Tract 122.21, Thurston County, WA","14000US53067012221"
2017,"2017",0,"Total",71975,7704,"Census Tract 116.24, Thurston County, WA","14000US53067011624"
